val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.684458512784882,0.80042929603938,0.877286512681601,0,85,,,
,,,0,85,0.4742351182788716,0.6127947900961359,0.7222100690353749
