val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.6806228226509617,0.7966222552044732,0.8769854696484027,0,85,,,
,,,0,85,0.4664871808493361,0.6022361915946937,0.7197171033814896
0.7296823359972239,0.8363548404981141,0.8931971558381625,1,171,,,
,,,1,171,0.6128172366874269,0.7486553534226084,0.8066603582958842
